Timestamp,Temperature_C,Temperature_F,Humidity_%
2026-07-09 15:50:01,24.9,76.8,48.5
2026-07-09 15:50:03,25.1,77.2,48.2
2026-07-09 15:50:05,25.1,77.2,48.2
2026-07-09 15:50:07,25.1,77.2,48.2
2026-07-09 15:50:10,25.1,77.2,48.1
2026-07-09 15:50:12,25.1,77.2,48.2
2026-07-09 15:50:14,25.1,77.2,48.2
2026-07-09 15:50:16,25.1,77.2,48.2
2026-07-09 15:50:19,25.1,77.2,48.2
2026-07-09 15:50:21,25.1,77.2,48.2
2026-07-09 15:50:23,25.1,77.2,48.1
2026-07-09 15:50:25,25.1,77.2,48.1
2026-07-09 15:50:28,25.1,77.2,48.1
2026-07-09 15:50:30,25.1,77.2,48.1
2026-07-10 11:25:39,23.8,74.8,50.1
2026-07-10 11:25:42,24.0,75.2,50.3
2026-07-10 11:25:44,24.0,75.2,50.2
2026-07-10 11:25:46,24.0,75.2,50.2
2026-07-10 11:25:48,24.0,75.2,50.3
2026-07-10 11:25:51,24.0,75.2,51.4
2026-07-10 11:26:02,24.0,75.2,54.4
2026-07-10 11:26:04,24.4,75.9,63.7
2026-07-10 11:26:06,24.5,76.1,62.8
2026-07-10 11:26:09,24.6,76.3,62.2
2026-07-10 11:26:11,24.7,76.5,61.5
2026-07-10 11:26:13,24.8,76.6,62.8
2026-07-10 11:26:15,24.9,76.8,64.9
2026-07-10 11:26:20,25.1,77.2,70.1
2026-07-10 11:26:22,25.2,77.4,72.6
2026-07-10 11:26:24,25.4,77.7,75.0
2026-07-10 11:26:27,25.5,77.9,77.1
2026-07-10 11:26:29,25.7,78.3,79.0
2026-07-10 11:26:31,25.8,78.4,80.7
2026-07-10 11:26:33,25.9,78.6,81.5
2026-07-10 11:26:36,26.0,78.8,80.7
2026-07-10 11:26:38,26.1,79.0,78.5
2026-07-10 11:26:42,26.3,79.3,73.2
2026-07-10 11:26:45,26.3,79.3,70.6
2026-07-10 11:26:47,26.4,79.5,68.3
2026-07-10 11:26:49,26.5,79.7,66.0
2026-07-10 11:26:52,26.5,79.7,64.0
2026-07-10 11:26:54,26.6,79.9,62.1
2026-07-10 11:26:56,26.6,79.9,60.5
2026-07-10 11:26:58,26.6,79.9,58.9
2026-07-10 11:27:01,26.7,80.1,57.5
2026-07-10 11:27:03,26.7,80.1,56.3
2026-07-10 11:27:05,26.7,80.1,55.2
2026-07-10 11:27:07,26.8,80.2,54.2
2026-07-10 11:27:10,26.8,80.2,53.3
2026-07-10 11:27:12,26.8,80.2,52.5
2026-07-10 11:27:14,26.8,80.2,51.7
2026-07-10 11:27:16,26.8,80.2,51.1
2026-07-10 11:27:19,26.8,80.2,50.5
2026-07-10 11:27:23,26.8,80.2,49.4
2026-07-10 11:27:25,26.8,80.2,49.0
2026-07-10 11:27:28,26.8,80.2,48.6
2026-07-10 11:27:30,26.8,80.2,48.2
2026-07-10 11:27:32,26.8,80.2,48.0
2026-07-10 11:27:34,26.8,80.2,49.4
2026-07-10 11:27:37,26.8,80.2,51.4
2026-07-10 16:10:25,24.7,76.5,49.4
2026-07-10 16:10:28,24.9,76.8,49.3
2026-07-10 16:10:30,24.9,76.8,49.3
2026-07-10 16:10:34,24.9,76.8,49.6
2026-07-10 16:10:37,24.9,76.8,50.6
2026-07-10 16:10:39,24.9,76.8,52.2
2026-07-10 16:10:41,25.0,77.0,53.7
2026-07-10 16:10:44,25.0,77.0,55.2
2026-07-10 16:10:46,25.0,77.0,56.7
2026-07-10 16:10:48,25.1,77.2,58.0
2026-07-10 16:10:50,25.2,77.4,59.3
2026-07-10 16:10:53,25.2,77.4,60.5
2026-07-10 16:10:55,25.3,77.5,61.6
2026-07-10 16:10:57,25.3,77.5,62.5
2026-07-10 16:11:02,25.5,77.9,64.2
2026-07-10 16:11:04,25.5,77.9,65.0
2026-07-10 16:11:06,25.6,78.1,65.6
2026-07-10 16:11:08,25.7,78.3,65.8
2026-07-10 16:11:11,25.7,78.3,65.5
2026-07-10 16:11:13,25.8,78.4,64.4
2026-07-10 16:11:15,25.8,78.4,63.1
2026-07-10 16:11:17,25.9,78.6,61.7
2026-07-10 16:11:22,25.9,78.6,59.1
2026-07-10 16:11:24,25.9,78.6,58.0
2026-07-10 16:11:26,25.9,78.6,56.9
2026-07-10 16:11:29,26.0,78.8,55.8
2026-07-10 16:11:31,26.0,78.8,54.9
2026-07-10 16:11:33,26.0,78.8,54.1
2026-07-10 16:11:35,26.0,78.8,53.3
2026-07-10 16:11:38,26.0,78.8,52.7
2026-07-10 16:11:40,26.1,79.0,52.1
2026-07-10 16:11:42,26.0,78.8,51.6
2026-07-10 16:11:44,26.1,79.0,51.1
2026-07-10 16:11:47,26.1,79.0,50.6
2026-07-10 16:11:49,26.1,79.0,50.2
2026-07-10 16:11:51,26.1,79.0,49.9
2026-07-10 16:11:53,26.1,79.0,49.5
2026-07-10 16:11:56,26.1,79.0,49.3
2026-07-10 16:11:58,26.1,79.0,49.0
2026-07-10 16:12:00,26.1,79.0,48.7
2026-07-10 16:12:02,26.1,79.0,48.5
2026-07-10 16:12:05,26.1,79.0,48.3
2026-07-10 16:12:07,26.1,79.0,48.1
2026-07-10 16:12:09,26.1,79.0,47.9
2026-07-10 16:12:11,26.0,78.8,47.8
2026-07-10 16:12:14,26.0,78.8,47.6
2026-07-10 16:12:16,26.0,78.8,47.5
2026-07-10 16:12:18,26.0,78.8,47.4
2026-07-10 16:12:21,26.0,78.8,47.3
2026-07-10 16:12:23,26.0,78.8,47.3
2026-07-10 16:12:25,26.0,78.8,47.1
2026-07-10 16:12:27,26.0,78.8,47.1
2026-07-10 16:12:30,26.0,78.8,47.0
2026-07-10 16:12:32,26.0,78.8,46.9
2026-07-10 16:12:34,26.0,78.8,46.9
2026-07-10 16:12:36,26.0,78.8,46.8
2026-07-10 16:12:39,26.0,78.8,46.7
2026-07-10 16:12:41,26.0,78.8,46.8
2026-07-10 16:12:43,26.0,78.8,46.7
2026-07-10 16:12:45,25.9,78.6,46.7
2026-07-10 16:12:48,25.9,78.6,46.6
2026-07-10 16:12:50,25.9,78.6,46.6
2026-07-10 16:12:52,25.9,78.6,46.6
2026-07-10 16:12:54,25.9,78.6,46.6
2026-07-10 16:12:57,25.9,78.6,46.6
2026-07-10 16:12:59,25.9,78.6,46.6
2026-07-10 16:13:01,25.9,78.6,46.6
2026-07-10 16:13:03,25.9,78.6,46.6
2026-07-10 16:13:06,25.9,78.6,46.6
2026-07-10 16:13:08,25.8,78.4,46.6
2026-07-10 16:13:10,25.8,78.4,46.6
2026-07-10 16:13:12,25.8,78.4,46.7
2026-07-10 16:13:15,25.8,78.4,46.7
2026-07-10 16:13:17,25.8,78.4,46.8
2026-07-10 16:13:19,25.8,78.4,46.8
2026-07-10 16:13:21,25.8,78.4,46.8
2026-07-10 16:13:24,25.8,78.4,46.8
